,X,Y,Z
225,3.44,1.44,-0.07
226,3.46,1.44,0.01
227,3.51,1.44,0.05
228,3.51,1.44,0.03
229,3.46,1.44,0.03
230,3.44,1.38,-0.04
231,3.41,1.41,-0.04
232,3.44,1.44,-0.09
233,3.41,1.47,-0.02
234,3.49,1.44,-0.02
235,3.49,1.44,0.0
236,3.49,1.46,0.0
237,3.46,1.49,-0.02
238,3.41,1.49,-0.06
239,3.39,1.46,-0.06
240,3.39,1.46,-0.06
241,3.43,1.44,0.01
242,3.46,1.46,0.01
243,3.48,1.44,0.05
244,3.48,1.38,0.05
245,3.46,1.46,-0.02
246,3.44,1.44,-0.02
247,3.41,1.44,-0.06
248,3.41,1.41,-0.09
249,3.41,1.41,-0.09
250,3.41,1.41,-0.02
251,3.49,1.44,0.03
252,3.3,1.38,0.02
253,2.29,1.36,0.06
254,2.15,1.33,0.04
255,2.16,1.33,0.02
256,2.1,1.36,0.05
257,2.15,1.36,0.04
258,2.18,1.36,0.04
259,2.18,1.33,0.11
260,2.18,1.3,0.11
261,2.2,1.36,0.11
262,2.18,1.33,0.09
263,2.1,1.3,0.05
264,2.1,1.3,-0.0
265,2.18,1.3,0.02
266,2.18,1.33,0.07
267,2.23,1.39,0.11
268,2.2,1.39,0.11
269,2.18,1.3,0.11
270,2.18,1.3,0.11
271,2.1,1.36,0.05
272,2.13,1.33,0.02
273,2.13,1.3,-0.0
274,2.15,1.27,0.04
275,2.2,1.33,0.09
276,2.25,1.3,0.13
277,2.23,1.33,0.09
278,2.18,1.33,0.04
279,2.1,1.33,0.02
280,2.1,1.33,0.02
281,2.15,1.36,0.04
282,2.15,1.36,0.04
283,1.41,1.22,-0.0
284,1.39,1.19,-0.0
285,1.36,1.22,-0.0
286,1.33,1.25,0.0
287,1.29,1.25,-0.12
288,1.23,1.19,-0.11
289,1.29,1.17,-0.12
290,1.34,1.19,-0.07
291,1.36,1.22,-0.05
292,1.36,1.22,-0.05
293,1.36,1.22,0.02
294,1.31,1.19,-0.02
295,1.31,1.19,-0.02
296,1.26,1.22,-0.07
297,1.29,1.22,-0.12
298,1.31,1.22,-0.12
299,1.33,1.19,-0.02
300,1.33,1.19,-0.02
301,1.36,1.25,0.05
302,1.34,1.22,-0.05
303,1.28,1.19,-0.07
304,1.26,1.19,-0.07
305,1.26,1.22,-0.09
306,1.31,1.28,-0.04
307,1.31,1.28,-0.04
