,X,Y,Z
937,0.01,0.04,-0.04
938,0.06,0.07,0.03
939,0.04,0.07,-0.04
940,0.04,0.04,-0.06
941,-0.09,0.01,-0.08
942,-0.06,0.07,-0.1
943,-0.07,0.12,-0.08
944,-0.04,0.07,-0.08
945,0.04,0.04,-0.06
946,0.04,0.04,-0.01
947,0.03,0.07,0.01
948,0.04,0.12,-0.06
949,-0.04,0.09,-0.08
950,-0.06,0.09,-0.13
951,-0.09,0.07,-0.1
952,-0.04,0.09,-0.06
953,0.04,0.12,-0.06
954,0.01,0.07,-0.01
955,0.04,0.07,-0.04
956,0.04,0.04,-0.04
957,-0.01,0.04,-0.06
958,-0.04,0.04,-0.08
959,-0.06,0.04,-0.13
960,-0.06,0.04,-0.13
961,-0.01,0.07,-0.06
962,0.03,0.07,0.01
963,0.06,0.07,0.01
964,0.01,0.04,-0.06
965,-0.01,0.04,-0.08
966,-0.04,0.04,-0.06
967,-0.06,0.07,-0.1
968,-0.06,0.07,-0.1
969,0.02,0.09,-0.11
970,0.04,0.04,-0.01
971,0.06,0.04,0.01
972,0.04,0.07,-0.01
973,-0.01,0.09,-0.06
974,-0.06,0.07,-0.13
975,-0.06,0.04,-0.1
976,-0.07,0.07,-0.06
977,0.01,0.09,-0.01
978,0.01,0.07,-0.01
979,0.04,0.07,-0.04
980,0.0,0.01,0.06
981,0.05,0.07,0.13
982,-0.03,0.07,0.09
983,-0.05,0.07,0.04
984,-0.05,0.07,0.01
985,0.0,0.07,0.08
986,0.05,0.07,0.1
987,0.07,0.12,0.17
988,0.08,0.09,0.13
989,0.03,0.07,0.06
990,0.03,0.07,0.06
991,-0.05,0.07,0.06
992,-0.02,0.12,0.04
993,0.03,0.09,0.03
994,0.03,0.12,0.11
995,0.05,0.07,0.13
996,0.05,0.1,0.15
997,0.03,0.1,0.11
998,-0.02,0.15,0.04
999,-0.05,0.07,0.04
1000,-0.08,0.04,0.04
1001,-0.03,0.1,0.09
1002,0.03,0.1,0.11
1003,0.03,0.1,0.11
1004,0.05,0.07,0.13
1005,0.03,0.1,0.11
1006,-0.03,0.07,0.09
1007,-0.03,0.1,0.09
1008,-0.08,0.04,0.04
1009,-0.08,0.01,0.04
1010,-0.0,0.01,0.13
1011,0.02,0.04,0.13
1012,0.05,0.04,0.13
1013,0.03,0.07,0.01
1014,-0.04,0.01,-0.03
1015,-0.05,0.01,0.01
1016,-0.1,0.04,-0.01
1017,-0.07,0.04,-0.01
1018,-0.02,0.07,0.01
1019,0.0,0.01,0.08
1020,0.02,0.07,0.13
1021,0.06,0.04,0.06
1022,0.01,0.04,0.01
1023,-0.1,0.01,-0.03
1024,-0.1,-0.02,-0.01
1025,-0.07,0.01,-0.01
1026,-0.03,0.1,0.09
1027,0.03,0.1,0.11
1028,0.06,0.04,0.08
1029,0.06,0.01,0.03
1030,0.01,0.07,0.01
1031,-0.08,0.07,0.04
1032,-0.04,0.07,-0.03
1033,-0.04,0.07,-0.03
1034,-0.04,0.04,-0.01
1035,0.0,0.04,0.08
1036,0.03,0.07,0.11
1037,0.03,0.09,0.03
1038,0.03,0.09,0.03
1039,-0.1,0.04,-0.01
1040,-0.06,0.04,-0.1
1041,-0.04,0.09,-0.13
1042,0.01,0.04,-0.09
1043,0.01,0.04,-0.09
1044,0.04,0.01,-0.04
1045,0.01,0.04,-0.06
1046,-0.01,0.07,-0.08
1047,-0.06,0.04,-0.13
1048,-0.09,0.04,-0.15
1049,-0.06,0.01,-0.13
1050,0.01,0.01,-0.09
1051,0.04,0.09,-0.04
1052,0.04,0.07,-0.01
1053,0.04,0.07,-0.01
1054,-0.01,0.04,-0.08
1055,-0.06,0.07,-0.13
1056,-0.09,0.09,-0.15
1057,-0.06,0.07,-0.15
1058,0.02,0.04,-0.16
1059,0.01,0.07,-0.09
1060,0.04,0.12,-0.04
1061,0.06,0.09,-0.04
1062,0.01,0.09,-0.09
1063,-0.06,0.07,-0.13
1064,-0.06,0.04,-0.1
1065,-0.06,0.07,-0.1
1066,-0.04,0.04,-0.11
1067,-0.01,0.04,-0.11
1068,0.01,0.04,-0.04
1069,0.04,0.04,-0.01
1070,0.06,0.09,0.06
1071,0.0,0.07,0.06
1072,-0.08,0.07,0.04
1073,-0.05,0.01,0.04
1074,-0.03,0.04,0.11
1075,0.03,0.07,0.11
1076,0.05,0.07,0.13
1077,0.08,0.04,0.13
1078,0.08,0.04,0.13
1079,-0.03,0.04,0.09
1080,0.0,0.07,0.06
1081,-0.02,0.04,0.06
1082,-0.05,0.1,0.04
1083,0.03,0.07,0.06
1084,0.05,0.1,0.13
1085,0.07,0.07,0.17
1086,0.08,0.07,0.08
1087,0.03,0.07,0.06
1088,-0.05,0.04,0.01
1089,-0.02,0.07,0.06
1090,0.0,0.09,0.04
1091,0.0,0.07,0.08
1092,0.05,0.07,0.1
1093,0.1,0.04,0.15
1094,0.08,0.07,0.15
1095,0.05,0.07,0.1
1096,-0.05,0.1,0.04
1097,-0.05,0.04,0.06
1098,-0.02,0.07,0.06
1099,0.03,0.1,0.11
1100,0.05,0.09,0.08
1101,0.09,0.07,0.03
1102,0.09,0.04,0.01
1103,0.04,0.01,-0.04
1104,0.01,0.09,-0.09
1105,-0.04,0.12,-0.06
1106,-0.07,0.07,-0.08
1107,0.01,0.01,-0.06
1108,0.06,0.07,0.01
1109,0.09,0.07,0.03
1110,0.09,0.07,0.03
1111,0.06,0.01,-0.02
1112,0.01,-0.02,-0.06
1113,-0.01,-0.02,-0.08
1114,0.01,0.07,-0.04
1115,0.01,0.04,-0.09
1116,0.06,0.01,-0.04
1117,0.08,-0.02,0.05
1118,0.09,0.01,0.03
1119,0.09,0.07,0.01
1120,0.01,0.01,-0.04
1121,-0.04,0.04,-0.06
1122,-0.06,-0.02,-0.1
1123,0.04,0.01,-0.04
1124,0.06,0.04,-0.02
1125,0.11,0.04,0.0
1126,0.09,0.04,0.01
1127,0.04,-0.02,-0.04
1128,0.06,-0.02,-0.04
1129,-0.02,0.04,-0.04
1130,-0.04,0.01,-0.11
1131,-0.03,0.04,-0.15
1132,0.01,0.01,-0.09
1133,0.01,-0.02,-0.01
1134,0.09,0.04,-0.02
1135,0.04,0.04,-0.04
1136,0.01,0.01,-0.09
1137,-0.06,0.01,-0.1
1138,-0.04,0.04,-0.11
1139,-0.06,0.07,-0.13
1140,-0.06,0.07,-0.13
1141,0.01,0.04,-0.01
1142,0.06,0.04,-0.02
1143,0.06,-0.02,0.01
1144,0.04,0.04,-0.04
1145,-0.01,0.07,-0.13
1146,-0.06,0.04,-0.13
1147,-0.04,0.04,-0.08
1148,0.02,0.04,-0.11
1149,0.03,0.01,0.01
1150,0.06,0.01,-0.04
1151,0.09,-0.02,-0.04
1152,0.04,0.01,-0.06
1153,-0.04,0.04,-0.06
1154,-0.07,0.01,-0.06
1155,-0.09,0.01,-0.15
1156,-0.06,-0.02,-0.1
1157,0.04,0.04,-0.06
1158,0.06,0.01,0.03
1159,0.06,0.01,-0.04
1160,-0.02,0.01,-0.01
1161,-0.02,0.01,0.01
1162,-0.02,0.01,0.06
1163,-0.02,0.01,0.06
1164,0.06,0.04,0.06
1165,0.03,0.04,0.06
1166,0.11,0.01,0.12
1167,0.08,0.01,0.1
1168,0.03,0.01,0.11
1169,0.0,0.04,0.06
1170,0.0,0.04,0.06
1171,-0.02,-0.02,-0.01
1172,-0.02,0.01,0.06
1173,0.02,0.04,0.13
1174,0.08,0.04,0.13
1175,0.08,0.01,0.08
1176,0.05,-0.05,0.1
1177,0.0,-0.02,0.11
1178,-0.02,0.04,0.06
1179,-0.02,0.04,0.04
1180,-0.02,0.01,0.01
1181,0.03,0.01,0.06
1182,0.05,0.04,0.18
1183,0.08,0.04,0.15
1184,0.05,0.01,0.13
1185,-0.02,-0.02,0.04
1186,-0.07,-0.02,0.04
1187,-0.05,0.04,0.09
1188,-0.02,0.04,0.06
1189,0.03,0.04,0.08
1190,0.05,0.01,0.13
1191,0.08,0.01,0.1
1192,0.08,0.01,0.05
1193,0.03,0.01,0.03
1194,0.04,0.01,-0.02
1195,-0.01,-0.02,-0.06
1196,-0.04,-0.05,-0.01
1197,0.03,-0.02,0.01
1198,0.06,0.04,0.08
1199,0.14,0.01,0.07
1200,0.14,0.01,0.07
1201,0.06,-0.05,-0.02
1202,0.01,-0.02,0.03
1203,-0.02,0.01,0.01
1204,-0.04,0.01,-0.03
1205,-0.02,0.01,0.01
1206,0.03,0.04,0.03
1207,0.08,0.04,0.13
1208,0.11,0.01,0.1
1209,0.06,0.01,0.01
1210,-0.04,-0.02,-0.01
1211,-0.05,-0.05,0.01
1212,-0.05,-0.02,0.01
1213,0.01,0.01,0.01
1214,0.06,-0.02,0.01
1215,0.08,0.01,0.05
1216,0.05,-0.02,0.1
1217,0.03,0.01,0.06
1218,0.01,0.01,0.03
1219,-0.02,-0.02,-0.01
1220,-0.04,-0.05,-0.11
1221,-0.09,0.01,-0.1
1222,-0.01,0.04,-0.06
1223,0.04,0.01,-0.02
1224,0.01,0.01,-0.01
1225,0.01,-0.02,-0.04
1226,-0.01,-0.05,-0.08
1227,-0.04,0.01,-0.11
1228,-0.09,0.01,-0.15
1229,-0.06,0.01,-0.13
1230,-0.06,0.01,-0.13
1231,0.01,-0.02,0.03
1232,0.03,0.01,0.01
1233,0.01,-0.02,-0.04
1234,-0.01,-0.02,-0.06
1235,-0.12,-0.02,-0.1
1236,-0.09,-0.02,-0.1
1237,-0.09,0.04,-0.08
1238,-0.07,0.04,-0.08
1239,0.04,-0.05,-0.04
1240,0.01,-0.05,-0.01
1241,0.04,0.01,-0.04
1242,-0.01,-0.02,-0.06
1243,-0.04,-0.02,-0.08
1244,-0.06,-0.02,-0.13
1245,-0.06,-0.05,-0.1
1246,-0.07,-0.02,-0.03
1247,0.04,0.01,-0.02
1248,0.04,0.01,-0.02
1249,0.07,-0.02,-0.07
1250,0.01,-0.02,0.03
1251,-0.05,-0.02,0.11
1252,-0.05,0.01,0.06
1253,-0.05,0.01,0.04
1254,-0.05,-0.02,0.04
1255,0.06,-0.02,0.08
1256,0.05,0.01,0.15
1257,0.08,-0.02,0.1
1258,0.05,0.01,0.1
1259,-0.02,-0.02,0.06
1260,-0.02,-0.02,0.06
1261,-0.05,0.01,0.06
1262,-0.05,0.04,0.04
1263,-0.02,0.01,0.04
1264,0.03,-0.02,0.11
1265,0.1,0.01,0.15
1266,0.05,0.01,0.15
1267,0.0,0.01,0.08
1268,-0.05,-0.02,0.04
1269,-0.07,-0.05,-0.01
1270,-0.05,-0.05,0.04
1271,0.03,0.01,0.08
1272,0.08,0.01,0.13
1273,0.05,0.01,0.18
1274,0.08,-0.08,0.1
1275,0.03,-0.05,0.08
1276,-0.05,0.01,0.09
1277,-0.05,-0.02,0.06
1278,-0.02,0.01,0.01
1279,-0.02,-0.02,0.06
1280,0.03,0.01,0.06
1281,0.08,0.07,0.1
1282,0.08,0.04,0.05
1283,0.03,0.04,0.06
1284,-0.04,0.04,-0.03
1285,-0.07,0.01,-0.01
1286,-0.05,0.07,0.01
1287,-0.04,0.04,-0.01
1288,0.04,0.01,-0.02
1289,0.03,0.01,0.08
1290,0.03,0.01,0.08
1291,0.06,0.04,0.08
1292,-0.02,0.04,0.01
1293,-0.04,0.01,-0.03
1294,-0.07,-0.02,-0.01
1295,-0.05,0.01,0.01
1296,0.03,0.09,0.03
1297,0.06,0.04,0.03
1298,0.06,-0.02,0.08
1299,0.06,0.01,0.06
1300,0.01,0.01,0.03
1301,-0.05,0.04,0.01
1302,-0.04,0.07,-0.03
1303,-0.07,0.01,-0.03
1304,-0.02,0.01,-0.01
1305,0.03,-0.02,0.03
1306,0.08,0.04,0.1
1307,0.06,0.04,0.06
1308,0.03,-0.02,0.01
1309,-0.02,0.01,0.01
1310,-0.07,0.01,-0.08
1311,-0.06,0.07,-0.15
1312,-0.06,0.04,-0.15
1313,-0.01,-0.02,-0.13
1314,0.06,0.01,-0.02
1315,0.06,0.04,0.01
1316,0.07,0.04,-0.06
1317,-0.04,0.04,-0.11
1318,-0.06,0.01,-0.15
1319,-0.04,0.04,-0.13
1320,-0.04,0.04,-0.13
1321,0.04,0.07,-0.11
1322,0.01,0.04,-0.09
1323,0.06,0.01,-0.04
1324,0.06,0.01,-0.04
1325,-0.01,0.04,-0.08
1326,-0.01,0.07,-0.11
1327,-0.06,0.04,-0.18
1328,-0.03,-0.02,-0.15
1329,0.04,-0.02,-0.11
1330,0.06,0.04,-0.04
1331,0.09,0.04,-0.02
1332,0.04,0.01,-0.09
1333,0.04,-0.05,-0.11
1334,0.01,0.01,-0.09
1335,-0.01,0.04,-0.13
1336,-0.03,0.04,-0.15
1337,-0.03,0.01,-0.15
1338,-0.04,0.01,-0.13
1339,0.09,-0.02,-0.04
1340,0.08,0.01,0.05
1341,0.05,0.01,0.1
1342,0.06,0.01,0.08
1343,-0.02,-0.02,0.06
1344,-0.03,0.01,0.08
1345,-0.05,0.04,0.04
1346,0.06,0.04,0.08
1347,0.03,0.01,0.06
1348,0.1,0.04,0.12
1349,0.08,0.01,0.15
1350,0.08,0.01,0.15
1351,0.0,0.01,0.08
1352,-0.05,-0.02,0.04
1353,-0.02,0.01,0.06
1354,0.0,0.04,0.06
1355,0.11,-0.02,0.12
1356,0.11,0.01,0.1
1357,0.08,-0.02,0.13
1358,0.08,-0.02,0.15
1359,0.0,-0.02,0.11
1360,-0.02,0.01,0.04
1361,-0.02,0.01,0.01
1362,-0.02,-0.02,0.04
1363,0.08,-0.02,0.08
1364,0.07,0.04,0.17
1365,0.11,0.07,0.1
1366,0.08,0.04,0.1
1367,0.0,-0.02,0.06
1368,-0.02,0.01,0.06
1369,-0.03,0.01,0.08
1370,-0.01,0.01,-0.11
1371,-0.03,0.01,-0.15
1372,-0.01,-0.02,-0.08
1373,0.04,0.01,-0.04
1374,0.04,0.01,-0.04
1375,0.02,0.01,-0.11
1376,-0.06,0.01,-0.18
1377,-0.08,0.01,-0.2
1378,-0.06,-0.02,-0.15
1379,-0.01,0.07,-0.16
1380,-0.01,0.07,-0.16
1381,0.01,0.04,-0.06
1382,0.01,-0.02,-0.09
1383,-0.01,-0.02,-0.08
1384,-0.06,0.04,-0.13
1385,-0.03,0.04,-0.18
1386,-0.09,0.01,-0.17
1387,-0.09,-0.02,-0.18
1388,0.01,0.01,-0.06
1389,0.09,0.01,-0.04
1390,0.06,0.04,-0.04
1391,0.02,-0.02,-0.13
1392,-0.06,-0.05,-0.15
1393,-0.06,0.01,-0.15
1394,-0.03,0.01,-0.18
1395,-0.06,0.04,-0.18
1396,0.05,-0.02,-0.16
1397,0.01,-0.02,-0.06
1398,0.06,0.01,-0.02
1399,0.01,0.07,-0.06
1400,0.01,0.04,-0.01
1401,-0.02,-0.05,0.08
1402,-0.05,-0.05,0.06
1403,-0.02,-0.08,0.04
1404,-0.0,0.01,0.11
1405,0.03,-0.02,0.13
1406,0.05,-0.05,0.1
1407,0.08,-0.08,0.13
1408,0.05,-0.02,0.1
1409,-0.03,-0.02,0.11
1410,-0.03,-0.02,0.11
1411,-0.07,-0.02,0.04
1412,-0.05,-0.08,0.06
1413,0.05,-0.05,0.1
1414,0.05,-0.02,0.13
1415,0.08,-0.05,0.13
1416,0.03,-0.05,0.11
1417,0.0,-0.02,0.06
1418,-0.02,-0.02,0.06
1419,-0.05,0.01,0.09
1420,-0.08,0.01,0.04
1421,-0.02,0.01,0.06
1422,0.05,-0.02,0.13
1423,0.07,0.01,0.17
1424,0.05,0.01,0.13
1425,0.06,-0.05,0.06
1426,-0.02,-0.05,0.06
1427,-0.05,-0.05,0.06
1428,-0.05,-0.02,0.06
1429,0.0,0.01,0.06
1430,0.06,-0.02,0.01
1431,0.09,-0.05,0.01
1432,0.09,0.01,-0.02
1433,0.09,0.01,-0.09
1434,-0.01,-0.02,-0.06
1435,-0.03,-0.02,-0.15
1436,-0.06,-0.05,-0.1
1437,0.04,-0.02,-0.09
1438,0.06,0.01,-0.04
1439,0.06,0.01,0.01
1440,0.06,0.01,0.01
1441,0.01,-0.02,-0.04
1442,0.01,-0.05,-0.04
1443,-0.04,-0.02,-0.08
1444,-0.06,-0.02,-0.13
1445,-0.01,-0.08,-0.08
1446,0.04,-0.02,-0.04
1447,0.06,0.01,-0.04
1448,0.09,-0.02,-0.02
1449,0.07,-0.02,-0.07
1450,0.02,-0.05,-0.11
1451,-0.04,-0.05,-0.11
1452,-0.04,-0.02,-0.11
1453,-0.01,0.01,-0.11
1454,0.02,-0.02,-0.11
1455,0.04,-0.02,-0.06
1456,0.06,-0.02,0.03
1457,0.09,-0.05,-0.02
1458,0.06,-0.02,-0.04
1459,0.02,-0.02,-0.11
1460,-0.01,-0.02,-0.13
1461,-0.04,-0.02,-0.11
1462,-0.01,0.01,-0.06
1463,0.04,0.04,-0.04
1464,0.04,-0.05,-0.02
1465,0.06,-0.05,-0.04
1466,0.04,-0.05,-0.04
1467,0.01,-0.05,-0.06
1468,-0.04,-0.02,-0.11
1469,-0.04,-0.02,-0.11
1470,-0.04,-0.02,-0.11
1471,0.04,-0.05,-0.09
1472,0.06,-0.02,-0.02
1473,0.06,0.01,0.03
1474,0.07,-0.02,-0.07
1475,0.02,-0.02,-0.11
1476,-0.04,-0.02,-0.08
1477,-0.06,-0.02,-0.1
1478,-0.04,0.04,-0.08
1479,0.01,-0.02,-0.09
1480,0.01,-0.05,-0.01
1481,0.06,-0.02,-0.02
1482,0.06,-0.02,-0.04
1483,0.04,-0.05,-0.04
1484,-0.04,-0.02,-0.08
1485,-0.09,0.01,-0.1
1486,-0.04,0.01,-0.11
1487,0.01,0.01,-0.06
1488,0.04,0.01,-0.06
1489,0.06,-0.05,-0.04
1490,0.06,-0.05,0.06
1491,0.08,-0.02,0.13
1492,0.08,-0.02,0.08
1493,-0.02,-0.02,0.06
1494,-0.05,-0.08,0.01
1495,-0.08,-0.08,0.06
1496,0.02,0.01,0.13
1497,0.05,0.01,0.13
1498,0.08,0.04,0.1
1499,0.08,0.01,0.1
