Bx,By,Bz
1.452879694389977949e+01,-1.831693329488051969e+00,-2.533505436569064884e+01
1.450174346533801462e+01,-1.837286335798704373e+00,-2.533322917264374752e+01
1.447479855451310549e+01,-1.842932452095402462e+00,-2.533131232321899518e+01
1.444796245703384940e+01,-1.848631849383636006e+00,-2.532930463739766580e+01
1.442123541287136845e+01,-1.854384697773041601e+00,-2.532720693809194046e+01
1.439461765989154607e+01,-1.860191165792256962e+00,-2.532502004979837551e+01
1.436810943233434124e+01,-1.866051420681729578e+00,-2.532274479913450804e+01
1.434171095926857298e+01,-1.871965628623414313e+00,-2.532038201536482802e+01
1.431542246816005104e+01,-1.877933954147224194e+00,-2.531793252906957647e+01
1.428924418077046354e+01,-1.883956560772248379e+00,-2.531539717359854436e+01
1.426317631673835962e+01,-1.890033610445103429e+00,-2.531277678374554085e+01
1.423721909203857194e+01,-1.896165263780552612e+00,-2.531007219627587190e+01
1.421137271741693908e+01,-1.902351680238182130e+00,-2.530728425044102892e+01
1.418563740200807111e+01,-1.908593017653244850e+00,-2.530441378667136831e+01
1.416001334917937449e+01,-1.914889432736288200e+00,-2.530146164800120800e+01
1.413450076016159151e+01,-1.921241080636256759e+00,-2.529842867876814339e+01
1.410909983248848398e+01,-1.927648115128154371e+00,-2.529531572512969717e+01
1.408381075841186814e+01,-1.934110688736182970e+00,-2.529212363556549192e+01
1.405863372856850191e+01,-1.940628952390407669e+00,-2.528885325959695152e+01
1.403356892776980658e+01,-1.947203055783131687e+00,-2.528550544918054044e+01
1.400861653868174983e+01,-1.953833147058089414e+00,-2.528208105743453160e+01
1.398377674024433936e+01,-1.960519372944798500e+00,-2.527858093914408144e+01
1.395904970606662765e+01,-1.967261878827683885e+00,-2.527500595124882210e+01
1.393443560814338866e+01,-1.974060808529612521e+00,-2.527135695159393336e+01
1.390993461258984176e+01,-1.980916304523887117e+00,-2.526763480028625608e+01
1.388554688337110399e+01,-1.987828507750655227e+00,-2.526384035845360287e+01
1.386127258070224855e+01,-1.994797557697226775e+00,-2.525997448873554774e+01
1.383711185942312483e+01,-2.001823592412748543e+00,-2.525603805575594407e+01
1.381306487276472694e+01,-2.008906748419844401e+00,-2.525203192490813819e+01
1.378913176802904061e+01,-2.016047160780783720e+00,-2.524795696367081987e+01
1.376531269036850524e+01,-2.023244963042249100e+00,-2.524381404040260435e+01
1.374160778116543646e+01,-2.030500287261383985e+00,-2.523960402481782239e+01
1.371801717638684082e+01,-2.037813263965557731e+00,-2.523532778844153057e+01
1.369454101040103744e+01,-2.045184022193057949e+00,-2.523098620343352039e+01
1.367117941160174155e+01,-2.052612689412435465e+00,-2.522658014385900671e+01
1.364793250623798571e+01,-2.060099391596621032e+00,-2.522211048452260940e+01
1.362480041677348375e+01,-2.067644253194043991e+00,-2.521757810142725731e+01
1.360178326022149342e+01,-2.075247397033091357e+00,-2.521298387221101223e+01
1.357888115201104462e+01,-2.082908944492930736e+00,-2.520832867501251329e+01
1.355609420155645317e+01,-2.090629015274807934e+00,-2.520361338969311049e+01
1.353342251613681135e+01,-2.098407727606437678e+00,-2.519883889671384480e+01
1.351086619923502852e+01,-2.106245198158059218e+00,-2.519400607757586030e+01
1.348842534885261557e+01,-2.114141541891243925e+00,-2.518911581523699539e+01
1.346610006142620009e+01,-2.122096872360546449e+00,-2.518416899302323486e+01
1.344389042734133000e+01,-2.130111301335996910e+00,-2.517916649579746036e+01
1.342179653486211066e+01,-2.138184939138603191e+00,-2.517410920888331205e+01
1.339981846845081037e+01,-2.146317894500716417e+00,-2.516899801848586904e+01
1.337795630706213501e+01,-2.154510274358814037e+00,-2.516383381208619596e+01
1.335621012810934616e+01,-2.162762184287018385e+00,-2.515861747740295584e+01
1.333458000292405998e+01,-2.171073727969601297e+00,-2.515334990350292088e+01
1.331306600073484248e+01,-2.179445007668455059e+00,-2.514803197977632010e+01
1.329166818696669772e+01,-2.187876124027654523e+00,-2.514266459633556039e+01
1.327038662151560544e+01,-2.196367175810015837e+00,-2.513724864438623641e+01
1.324922136218765978e+01,-2.204918260373160077e+00,-2.513178501537537812e+01
1.322817246298678029e+01,-2.213529473440289941e+00,-2.512627460137661473e+01
1.320723997237735681e+01,-2.222200908802808517e+00,-2.512071829544646562e+01
1.318642393732956641e+01,-2.230932658965936621e+00,-2.511511699067387582e+01
1.316572439869156419e+01,-2.239724814380041895e+00,-2.510947158118913336e+01
1.314514139524715652e+01,-2.248577464120636193e+00,-2.510378296122885899e+01
1.312467496198402728e+01,-2.257490695602615727e+00,-2.509805202549691217e+01
1.310432512833659047e+01,-2.266464594226267781e+00,-2.509227966949460154e+01
1.308409192228006646e+01,-2.275499244156426126e+00,-2.508646678863044954e+01
1.306397536564858441e+01,-2.284594727402124548e+00,-2.508061427915967911e+01
1.304397547824214065e+01,-2.293751124630039939e+00,-2.507472303731040242e+01
1.302409227607454767e+01,-2.302968514822221202e+00,-2.506879395961890822e+01
1.300432576959725317e+01,-2.312246974865254323e+00,-2.506282794323186636e+01
1.298467596784194988e+01,-2.321586580463133487e+00,-2.505682588508045683e+01
1.296514287368553653e+01,-2.330987405064680829e+00,-2.505078868274614123e+01
1.294572648800494896e+01,-2.340449520811117345e+00,-2.504471723365185198e+01
1.292642680790621235e+01,-2.349972998136834690e+00,-2.503861243537018666e+01
1.290724382492857636e+01,-2.359557905301532532e+00,-2.503247518589598286e+01
1.288817752923524296e+01,-2.369204309437565659e+00,-2.502630638288843556e+01
1.286922790482513790e+01,-2.378912275324722714e+00,-2.502010692445886164e+01
1.285039493373606234e+01,-2.388681866472045279e+00,-2.501387770843106750e+01
1.283167859425388535e+01,-2.398513144661733598e+00,-2.500761963262022647e+01
1.281307885909817301e+01,-2.408406169424183396e+00,-2.500133359507461961e+01
1.279459569966029342e+01,-2.418360999219717034e+00,-2.499502049338992649e+01
1.277622908116306455e+01,-2.428377690060375294e+00,-2.498868122541428249e+01
1.275797896691112854e+01,-2.438456296726526862e+00,-2.498231668858172938e+01
1.273984531648124552e+01,-2.448596872253484769e+00,-2.497592778016056769e+01
1.272182808388904540e+01,-2.458799467349357837e+00,-2.496951539746227766e+01
1.270392722187379064e+01,-2.469064131711780963e+00,-2.496308043723185932e+01
1.268614267700647602e+01,-2.479390912496474364e+00,-2.495662379626572758e+01
1.266847439398706143e+01,-2.489779855668573738e+00,-2.495014637082244491e+01
1.265092231381557930e+01,-2.500231005432239861e+00,-2.494364905683862332e+01
1.263348637194069823e+01,-2.510744403591183893e+00,-2.493713275010336261e+01
