,X,Y,Z
224,2.4,1.93,0.17
225,2.43,1.9,0.06
226,2.35,1.93,0.2
227,2.48,1.9,-0.04
228,1.61,1.63,-0.17
229,1.53,1.58,-0.15
230,1.58,1.61,-0.2
231,1.45,1.61,-0.12
232,1.58,1.66,-0.22
233,1.48,1.63,-0.2
234,1.5,1.61,-0.2
235,1.56,1.61,-0.22
236,1.5,1.61,-0.09
237,1.58,1.61,-0.2
238,1.45,1.61,-0.17
239,1.53,1.61,-0.17
240,1.53,1.61,-0.25
241,1.5,1.61,-0.12
242,1.56,1.63,-0.22
243,1.48,1.61,-0.17
244,1.55,1.61,-0.15
245,1.51,1.55,-0.22
246,1.53,1.63,-0.15
247,1.22,1.45,-0.06
248,0.88,1.37,0.05
249,0.98,1.31,0.02
250,0.93,1.31,-0.0
251,0.9,1.34,0.15
252,0.98,1.37,-0.03
253,0.85,1.37,0.08
254,0.95,1.34,0.02
255,0.88,1.34,0.02
256,0.93,1.37,0.13
257,0.98,1.37,-0.0
258,0.88,1.34,0.08
259,0.98,1.37,-0.03
260,0.88,1.31,0.08
261,0.95,1.34,0.13
262,0.98,1.37,-0.03
263,0.85,1.31,0.02
264,0.98,1.31,0.02
265,0.93,1.31,0.07
266,0.95,1.34,0.1
267,0.98,1.34,-0.0
268,0.87,1.34,0.1
269,0.98,1.34,0.02
270,0.75,1.18,0.13
271,0.59,1.1,0.16
272,0.59,1.12,0.03
273,0.49,1.1,0.11
274,0.59,1.07,0.03
275,0.51,1.1,0.08
276,0.59,1.13,0.16
277,0.57,1.15,0.03
278,0.54,1.07,0.08
279,0.62,1.1,0.0
280,0.49,1.1,0.11
281,0.59,1.13,0.13
282,0.54,1.12,0.03
283,0.51,1.1,0.11
284,0.62,1.12,0.03
285,0.49,1.04,0.11
286,0.64,1.12,0.11
287,0.57,1.1,0.08
288,0.54,1.1,0.11
289,0.59,1.12,0.0
290,0.49,1.1,0.14
291,0.59,1.1,0.13
292,0.54,1.1,0.08
293,0.56,1.1,0.11
294,0.59,1.07,-0.02
295,0.54,1.07,0.16
296,0.59,1.04,0.03
297,0.36,0.91,0.01
298,0.36,0.85,0.01
299,0.36,0.91,-0.09
300,0.33,0.88,0.04
301,0.44,0.93,-0.02
302,0.34,0.94,-0.02
303,0.36,0.91,-0.02
304,0.36,0.91,-0.12
305,0.36,0.91,0.09
306,0.44,0.93,-0.04
307,0.31,0.96,-0.02
308,0.39,0.96,-0.02
309,0.36,0.91,-0.09
310,0.36,0.94,0.09
311,0.44,0.96,0.01
312,0.31,0.94,0.01
313,0.39,0.96,-0.02
314,0.36,0.91,-0.07
315,0.33,0.88,0.04
316,0.31,0.77,-0.09
317,0.15,0.77,-0.01
318,0.26,0.77,-0.07
319,0.24,0.75,-0.12
320,0.18,0.75,0.04
321,0.26,0.77,-0.09
322,0.18,0.77,0.01
323,0.26,0.77,-0.07
324,0.21,0.75,-0.12
325,0.23,0.72,-0.01
326,0.26,0.83,-0.09
327,0.13,0.77,-0.01
328,0.23,0.8,-0.07
329,0.18,0.77,-0.09
330,0.21,0.75,0.01
331,0.26,0.8,-0.07
332,0.21,0.75,0.04
333,0.29,0.8,-0.09
334,0.16,0.77,-0.09
335,0.2,0.69,0.11
336,0.15,0.67,0.04
337,0.07,0.64,0.14
338,0.18,0.61,0.04
339,0.08,0.58,0.07
340,0.15,0.61,0.14
341,0.15,0.67,0.04
342,0.07,0.61,0.17
343,0.21,0.64,0.04
344,0.08,0.61,0.07
345,0.15,0.61,0.09
346,0.13,0.64,0.09
347,0.07,0.59,0.17
348,0.13,0.69,0.01
349,0.13,0.69,0.01
350,0.13,0.69,0.01
351,0.13,0.64,0.06
352,0.07,0.61,0.17
353,0.15,0.69,0.01
354,0.07,0.61,0.12
355,0.07,0.61,0.12
356,0.07,0.61,0.12
357,0.1,0.64,0.17
358,0.15,0.67,0.01
359,0.1,0.58,0.09
360,0.13,0.61,0.14
361,0.15,0.69,0.04
362,0.07,0.64,0.14
363,0.18,0.67,0.09
364,0.1,0.61,0.01
365,0.13,0.61,0.09
366,0.11,0.56,-0.06
367,0.03,0.48,0.04
368,0.03,0.48,0.04
369,0.05,0.5,-0.04
370,0.1,0.48,0.01
371,0.13,0.56,-0.07
372,0.05,0.48,0.07
373,0.13,0.47,-0.04
374,0.05,0.53,-0.04
375,0.1,0.5,0.04
376,0.11,0.53,-0.06
377,0.05,0.5,0.07
378,0.18,0.5,-0.04
379,0.08,0.48,-0.01
380,0.1,0.48,0.04
381,0.13,0.5,-0.09
382,0.03,0.5,0.04
383,0.18,0.56,-0.09
384,0.03,0.48,-0.04
385,0.16,0.45,-0.07
386,0.11,0.47,-0.12
387,0.05,0.39,-0.01
388,0.16,0.45,-0.14
389,0.03,0.37,-0.09
390,0.13,0.45,-0.04
391,0.11,0.45,-0.12
392,0.05,0.39,-0.04
393,0.14,0.45,-0.17
394,0.06,0.39,-0.06
395,0.11,0.37,-0.07
396,0.08,0.42,-0.12
397,0.05,0.39,-0.04
398,0.14,0.45,-0.17
399,0.03,0.39,-0.06
400,0.13,0.42,-0.07
401,0.06,0.42,-0.12
402,0.08,0.42,-0.01
403,0.11,0.45,-0.14
404,0.03,0.42,-0.06
405,0.11,0.39,-0.12
406,0.06,0.39,-0.12
407,0.08,0.39,-0.01
408,0.11,0.45,-0.14
409,0.03,0.39,-0.09
410,0.11,0.42,-0.12
411,0.06,0.39,-0.06
412,0.08,0.31,0.04
413,0.03,0.39,-0.06
414,0.03,0.39,-0.06
415,0.13,0.37,-0.04
416,0.0,0.37,0.01
417,0.0,0.37,0.01
418,0.06,0.34,-0.09
419,-0.03,0.31,0.04
420,0.11,0.39,-0.01
421,0.03,0.34,0.04
422,0.05,0.37,0.04
423,0.03,0.37,-0.06
424,0.03,0.29,-0.01
425,0.08,0.31,-0.04
426,0.0,0.29,0.04
427,0.08,0.37,0.04
428,0.03,0.37,-0.09
429,0.0,0.29,0.07
430,0.06,0.39,-0.09
431,-0.05,0.26,0.12
432,0.05,0.23,0.12
433,0.03,0.29,0.04
434,-0.0,0.29,0.09
435,0.08,0.26,0.01
436,0.08,0.26,0.01
437,0.08,0.29,0.11
438,0.08,0.29,0.11
439,-0.0,0.29,0.12
440,0.05,0.23,0.04
441,-0.03,0.21,0.12
442,0.08,0.31,0.06
443,0.0,0.23,0.06
444,-0.0,0.23,0.12
445,0.03,0.29,0.01
446,-0.0,0.26,0.14
447,0.1,0.31,0.04
448,0.0,0.29,0.07
449,0.05,0.26,0.06
450,0.03,0.23,0.01
451,-0.05,0.26,0.12
452,0.05,0.26,0.01
453,-0.08,0.2,0.07
454,0.0,0.26,0.04
455,0.0,0.23,-0.04
456,-0.03,0.23,0.09
457,0.03,0.26,0.01
458,-0.05,0.2,0.09
459,0.0,0.2,0.04
460,-0.02,0.18,-0.01
461,-0.03,0.18,0.09
462,0.03,0.23,-0.01
463,0.03,0.23,-0.01
464,0.08,0.26,0.01
465,0.08,0.26,0.01
466,-0.0,0.21,0.14
467,-0.0,0.21,0.14
468,-0.08,0.18,0.09
469,0.0,0.23,0.01
470,-0.02,0.18,0.04
471,-0.03,0.23,0.12
472,0.03,0.2,0.01
473,-0.05,0.18,0.09
474,0.08,0.23,0.01
475,-0.05,0.18,0.04
476,0.03,0.2,0.12
477,0.0,0.2,-0.04
478,-0.08,0.15,0.09
479,0.06,0.2,-0.04
480,0.06,0.2,-0.04
481,0.03,0.2,0.06
482,0.03,0.2,-0.01
483,-0.05,0.18,0.04
484,0.06,0.18,-0.04
485,-0.08,0.15,0.01
486,0.0,0.2,0.06
487,-0.02,0.18,-0.01
488,-0.05,0.2,0.04
489,0.0,0.2,-0.04
490,-0.05,0.15,0.04
491,0.03,0.2,0.06
492,-0.02,0.2,0.01
493,-0.05,0.15,0.07
494,0.01,0.18,-0.09
495,0.05,0.18,0.04
496,0.05,0.18,0.04
497,0.05,0.18,0.04
498,0.05,0.18,0.04
499,0.01,0.18,-0.09
500,-0.02,0.1,0.01
501,0.03,0.2,-0.01
502,-0.05,0.15,0.04
503,-0.05,0.15,0.04
504,0.0,0.18,-0.06
505,-0.05,0.12,0.09
506,0.03,0.15,0.01
507,-0.05,0.2,0.07
508,-0.03,0.2,0.07
509,0.0,0.18,-0.06
510,-0.08,0.18,0.04
511,0.06,0.2,-0.04
512,-0.05,0.15,0.07
513,0.0,0.15,0.06
514,-0.02,0.2,-0.09
515,-0.05,0.15,0.07
516,0.03,0.2,0.01
517,-0.05,0.18,0.04
518,0.0,0.18,0.04
519,-0.02,0.18,-0.06
520,-0.02,0.15,0.07
521,0.06,0.15,-0.04
